char,unicode,ks_x_1001
팜,U+D31C,38-42
팝,U+D31D,38-43
팟,U+D31F,38-44
팠,U+D320,38-45
팡,U+D321,38-46
팥,U+D325,38-47
패,U+D328,38-48
팩,U+D329,38-49
팬,U+D32C,38-50
팰,U+D330,38-51
팸,U+D338,38-52
팹,U+D339,38-53
팻,U+D33B,38-54
팼,U+D33C,38-55
팽,U+D33D,38-56
퍄,U+D344,38-57
퍅,U+D345,38-58
퍼,U+D37C,38-59
퍽,U+D37D,38-60
펀,U+D380,38-61
펄,U+D384,38-62
펌,U+D38C,38-63
펍,U+D38D,38-64
펏,U+D38F,38-65
펐,U+D390,38-66
펑,U+D391,38-67
페,U+D398,38-68
펙,U+D399,38-69
펜,U+D39C,38-70
펠,U+D3A0,38-71
펨,U+D3A8,38-72
펩,U+D3A9,38-73
펫,U+D3AB,38-74
펭,U+D3AD,38-75
펴,U+D3B4,38-76
편,U+D3B8,38-77
펼,U+D3BC,38-78
폄,U+D3C4,38-79
폅,U+D3C5,38-80
폈,U+D3C8,38-81
평,U+D3C9,38-82
폐,U+D3D0,38-83
폘,U+D3D8,38-84
폡,U+D3E1,38-85
폣,U+D3E3,38-86
포,U+D3EC,38-87
폭,U+D3ED,38-88
폰,U+D3F0,38-89
폴,U+D3F4,38-90
폼,U+D3FC,38-91
폽,U+D3FD,38-92
폿,U+D3FF,38-93
퐁,U+D401,38-94
퐈,U+D408,39-01
퐝,U+D41D,39-02
푀,U+D440,39-03
푄,U+D444,39-04
표,U+D45C,39-05
푠,U+D460,39-06
푤,U+D464,39-07
푭,U+D46D,39-08
푯,U+D46F,39-09
푸,U+D478,39-10
푹,U+D479,39-11
푼,U+D47C,39-12
푿,U+D47F,39-13
풀,U+D480,39-14
풂,U+D482,39-15
품,U+D488,39-16
풉,U+D489,39-17
풋,U+D48B,39-18
풍,U+D48D,39-19
풔,U+D494,39-20
풩,U+D4A9,39-21
퓌,U+D4CC,39-22
퓐,U+D4D0,39-23
퓔,U+D4D4,39-24
퓜,U+D4DC,39-25
퓟,U+D4DF,39-26
퓨,U+D4E8,39-27
퓬,U+D4EC,39-28
퓰,U+D4F0,39-29
퓸,U+D4F8,39-30
퓻,U+D4FB,39-31
퓽,U+D4FD,39-32
프,U+D504,39-33
픈,U+D508,39-34
플,U+D50C,39-35
픔,U+D514,39-36
픕,U+D515,39-37
픗,U+D517,39-38
피,U+D53C,39-39
픽,U+D53D,39-40
핀,U+D540,39-41
필,U+D544,39-42
핌,U+D54C,39-43
핍,U+D54D,39-44
핏,U+D54F,39-45
핑,U+D551,39-46
하,U+D558,39-47
학,U+D559,39-48
한,U+D55C,39-49
할,U+D560,39-50
핥,U+D565,39-51
함,U+D568,39-52
합,U+D569,39-53
핫,U+D56B,39-54
항,U+D56D,39-55
해,U+D574,39-56
핵,U+D575,39-57
핸,U+D578,39-58
핼,U+D57C,39-59
햄,U+D584,39-60
햅,U+D585,39-61
햇,U+D587,39-62
했,U+D588,39-63
행,U+D589,39-64
햐,U+D590,39-65
향,U+D5A5,39-66
허,U+D5C8,39-67
헉,U+D5C9,39-68
헌,U+D5CC,39-69
헐,U+D5D0,39-70
헒,U+D5D2,39-71
험,U+D5D8,39-72
헙,U+D5D9,39-73
헛,U+D5DB,39-74
헝,U+D5DD,39-75
헤,U+D5E4,39-76
헥,U+D5E5,39-77
헨,U+D5E8,39-78
헬,U+D5EC,39-79
헴,U+D5F4,39-80
헵,U+D5F5,39-81
헷,U+D5F7,39-82
헹,U+D5F9,39-83
혀,U+D600,39-84
혁,U+D601,39-85
현,U+D604,39-86
혈,U+D608,39-87
혐,U+D610,39-88
협,U+D611,39-89
혓,U+D613,39-90
혔,U+D614,39-91
형,U+D615,39-92
혜,U+D61C,39-93
혠,U+D620,39-94
혤,U+D624,40-01
혭,U+D62D,40-02
호,U+D638,40-03
혹,U+D639,40-04
혼,U+D63C,40-05
홀,U+D640,40-06
홅,U+D645,40-07
홈,U+D648,40-08
홉,U+D649,40-09
홋,U+D64B,40-10
홍,U+D64D,40-11
홑,U+D651,40-12
화,U+D654,40-13
확,U+D655,40-14
환,U+D658,40-15
활,U+D65C,40-16
홧,U+D667,40-17
황,U+D669,40-18
홰,U+D670,40-19
홱,U+D671,40-20
홴,U+D674,40-21
횃,U+D683,40-22
횅,U+D685,40-23
회,U+D68C,40-24
획,U+D68D,40-25
횐,U+D690,40-26
횔,U+D694,40-27
횝,U+D69D,40-28
횟,U+D69F,40-29
횡,U+D6A1,40-30
효,U+D6A8,40-31
횬,U+D6AC,40-32
횰,U+D6B0,40-33
횹,U+D6B9,40-34
횻,U+D6BB,40-35
후,U+D6C4,40-36
훅,U+D6C5,40-37
훈,U+D6C8,40-38
훌,U+D6CC,40-39
훑,U+D6D1,40-40
훔,U+D6D4,40-41
훗,U+D6D7,40-42
훙,U+D6D9,40-43
훠,U+D6E0,40-44
훤,U+D6E4,40-45
훨,U+D6E8,40-46
훰,U+D6F0,40-47
훵,U+D6F5,40-48
훼,U+D6FC,40-49
훽,U+D6FD,40-50
휀,U+D700,40-51
휄,U+D704,40-52
휑,U+D711,40-53
휘,U+D718,40-54
휙,U+D719,40-55
휜,U+D71C,40-56
휠,U+D720,40-57
휨,U+D728,40-58
휩,U+D729,40-59
휫,U+D72B,40-60
휭,U+D72D,40-61
휴,U+D734,40-62
휵,U+D735,40-63
휸,U+D738,40-64
휼,U+D73C,40-65
흄,U+D744,40-66
흇,U+D747,40-67
흉,U+D749,40-68
흐,U+D750,40-69
흑,U+D751,40-70
흔,U+D754,40-71
흖,U+D756,40-72
흗,U+D757,40-73
흘,U+D758,40-74
흙,U+D759,40-75
흠,U+D760,40-76
흡,U+D761,40-77
흣,U+D763,40-78
흥,U+D765,40-79
흩,U+D769,40-80
희,U+D76C,40-81
흰,U+D770,40-82
흴,U+D774,40-83
흼,U+D77C,40-84
흽,U+D77D,40-85
힁,U+D781,40-86
히,U+D788,40-87
힉,U+D789,40-88
힌,U+D78C,40-89
힐,U+D790,40-90
힘,U+D798,40-91
힙,U+D799,40-92
힛,U+D79B,40-93
힝,U+D79D,40-94
