char,unicode,ks_x_1001
넣,U+B123,19-54
네,U+B124,19-55
넥,U+B125,19-56
넨,U+B128,19-57
넬,U+B12C,19-58
넴,U+B134,19-59
넵,U+B135,19-60
넷,U+B137,19-61
넸,U+B138,19-62
넹,U+B139,19-63
녀,U+B140,19-64
녁,U+B141,19-65
년,U+B144,19-66
녈,U+B148,19-67
념,U+B150,19-68
녑,U+B151,19-69
녔,U+B154,19-70
녕,U+B155,19-71
녘,U+B158,19-72
녜,U+B15C,19-73
녠,U+B160,19-74
노,U+B178,19-75
녹,U+B179,19-76
논,U+B17C,19-77
놀,U+B180,19-78
놂,U+B182,19-79
놈,U+B188,19-80
놉,U+B189,19-81
놋,U+B18B,19-82
농,U+B18D,19-83
높,U+B192,19-84
놓,U+B193,19-85
놔,U+B194,19-86
놘,U+B198,19-87
놜,U+B19C,19-88
놨,U+B1A8,19-89
뇌,U+B1CC,19-90
뇐,U+B1D0,19-91
뇔,U+B1D4,19-92
뇜,U+B1DC,19-93
뇝,U+B1DD,19-94
뇟,U+B1DF,20-01
뇨,U+B1E8,20-02
뇩,U+B1E9,20-03
뇬,U+B1EC,20-04
뇰,U+B1F0,20-05
뇹,U+B1F9,20-06
뇻,U+B1FB,20-07
뇽,U+B1FD,20-08
누,U+B204,20-09
눅,U+B205,20-10
눈,U+B208,20-11
눋,U+B20B,20-12
눌,U+B20C,20-13
눔,U+B214,20-14
눕,U+B215,20-15
눗,U+B217,20-16
눙,U+B219,20-17
눠,U+B220,20-18
눴,U+B234,20-19
눼,U+B23C,20-20
뉘,U+B258,20-21
뉜,U+B25C,20-22
뉠,U+B260,20-23
뉨,U+B268,20-24
뉩,U+B269,20-25
뉴,U+B274,20-26
뉵,U+B275,20-27
뉼,U+B27C,20-28
늄,U+B284,20-29
늅,U+B285,20-30
늉,U+B289,20-31
느,U+B290,20-32
늑,U+B291,20-33
는,U+B294,20-34
늘,U+B298,20-35
늙,U+B299,20-36
늚,U+B29A,20-37
늠,U+B2A0,20-38
늡,U+B2A1,20-39
늣,U+B2A3,20-40
능,U+B2A5,20-41
늦,U+B2A6,20-42
늪,U+B2AA,20-43
늬,U+B2AC,20-44
늰,U+B2B0,20-45
늴,U+B2B4,20-46
니,U+B2C8,20-47
닉,U+B2C9,20-48
닌,U+B2CC,20-49
닐,U+B2D0,20-50
닒,U+B2D2,20-51
님,U+B2D8,20-52
닙,U+B2D9,20-53
닛,U+B2DB,20-54
닝,U+B2DD,20-55
닢,U+B2E2,20-56
다,U+B2E4,20-57
닥,U+B2E5,20-58
닦,U+B2E6,20-59
단,U+B2E8,20-60
닫,U+B2EB,20-61
달,U+B2EC,20-62
닭,U+B2ED,20-63
닮,U+B2EE,20-64
닯,U+B2EF,20-65
닳,U+B2F3,20-66
담,U+B2F4,20-67
답,U+B2F5,20-68
닷,U+B2F7,20-69
닸,U+B2F8,20-70
당,U+B2F9,20-71
닺,U+B2FA,20-72
닻,U+B2FB,20-73
닿,U+B2FF,20-74
대,U+B300,20-75
댁,U+B301,20-76
댄,U+B304,20-77
댈,U+B308,20-78
댐,U+B310,20-79
댑,U+B311,20-80
댓,U+B313,20-81
댔,U+B314,20-82
댕,U+B315,20-83
댜,U+B31C,20-84
더,U+B354,20-85
덕,U+B355,20-86
덖,U+B356,20-87
던,U+B358,20-88
덛,U+B35B,20-89
덜,U+B35C,20-90
덞,U+B35E,20-91
덟,U+B35F,20-92
덤,U+B364,20-93
덥,U+B365,20-94
덧,U+B367,21-01
덩,U+B369,21-02
덫,U+B36B,21-03
덮,U+B36E,21-04
데,U+B370,21-05
덱,U+B371,21-06
덴,U+B374,21-07
델,U+B378,21-08
뎀,U+B380,21-09
뎁,U+B381,21-10
뎃,U+B383,21-11
뎄,U+B384,21-12
뎅,U+B385,21-13
뎌,U+B38C,21-14
뎐,U+B390,21-15
뎔,U+B394,21-16
뎠,U+B3A0,21-17
뎡,U+B3A1,21-18
뎨,U+B3A8,21-19
뎬,U+B3AC,21-20
도,U+B3C4,21-21
독,U+B3C5,21-22
돈,U+B3C8,21-23
돋,U+B3CB,21-24
돌,U+B3CC,21-25
돎,U+B3CE,21-26
돐,U+B3D0,21-27
돔,U+B3D4,21-28
돕,U+B3D5,21-29
돗,U+B3D7,21-30
동,U+B3D9,21-31
돛,U+B3DB,21-32
돝,U+B3DD,21-33
돠,U+B3E0,21-34
돤,U+B3E4,21-35
돨,U+B3E8,21-36
돼,U+B3FC,21-37
됐,U+B410,21-38
되,U+B418,21-39
된,U+B41C,21-40
될,U+B420,21-41
됨,U+B428,21-42
됩,U+B429,21-43
됫,U+B42B,21-44
됴,U+B434,21-45
두,U+B450,21-46
둑,U+B451,21-47
둔,U+B454,21-48
둘,U+B458,21-49
둠,U+B460,21-50
둡,U+B461,21-51
둣,U+B463,21-52
둥,U+B465,21-53
둬,U+B46C,21-54
뒀,U+B480,21-55
뒈,U+B488,21-56
뒝,U+B49D,21-57
뒤,U+B4A4,21-58
뒨,U+B4A8,21-59
뒬,U+B4AC,21-60
뒵,U+B4B5,21-61
뒷,U+B4B7,21-62
뒹,U+B4B9,21-63
듀,U+B4C0,21-64
듄,U+B4C4,21-65
듈,U+B4C8,21-66
듐,U+B4D0,21-67
듕,U+B4D5,21-68
드,U+B4DC,21-69
득,U+B4DD,21-70
든,U+B4E0,21-71
듣,U+B4E3,21-72
들,U+B4E4,21-73
듦,U+B4E6,21-74
듬,U+B4EC,21-75
듭,U+B4ED,21-76
듯,U+B4EF,21-77
등,U+B4F1,21-78
듸,U+B4F8,21-79
디,U+B514,21-80
딕,U+B515,21-81
딘,U+B518,21-82
딛,U+B51B,21-83
딜,U+B51C,21-84
딤,U+B524,21-85
딥,U+B525,21-86
딧,U+B527,21-87
딨,U+B528,21-88
딩,U+B529,21-89
딪,U+B52A,21-90
따,U+B530,21-91
딱,U+B531,21-92
딴,U+B534,21-93
딸,U+B538,21-94
땀,U+B540,22-01
땁,U+B541,22-02
땃,U+B543,22-03
땄,U+B544,22-04
땅,U+B545,22-05
땋,U+B54B,22-06
때,U+B54C,22-07
땍,U+B54D,22-08
땐,U+B550,22-09
땔,U+B554,22-10
땜,U+B55C,22-11
땝,U+B55D,22-12
땟,U+B55F,22-13
땠,U+B560,22-14
땡,U+B561,22-15
떠,U+B5A0,22-16
떡,U+B5A1,22-17
떤,U+B5A4,22-18
떨,U+B5A8,22-19
떪,U+B5AA,22-20
떫,U+B5AB,22-21
떰,U+B5B0,22-22
떱,U+B5B1,22-23
떳,U+B5B3,22-24
떴,U+B5B4,22-25
떵,U+B5B5,22-26
떻,U+B5BB,22-27
떼,U+B5BC,22-28
떽,U+B5BD,22-29
뗀,U+B5C0,22-30
뗄,U+B5C4,22-31
뗌,U+B5CC,22-32
뗍,U+B5CD,22-33
뗏,U+B5CF,22-34
뗐,U+B5D0,22-35
뗑,U+B5D1,22-36
뗘,U+B5D8,22-37
뗬,U+B5EC,22-38
또,U+B610,22-39
똑,U+B611,22-40
똔,U+B614,22-41
똘,U+B618,22-42
똥,U+B625,22-43
똬,U+B62C,22-44
똴,U+B634,22-45
뙈,U+B648,22-46
뙤,U+B664,22-47
뙨,U+B668,22-48
뚜,U+B69C,22-49
뚝,U+B69D,22-50
뚠,U+B6A0,22-51
뚤,U+B6A4,22-52
뚫,U+B6AB,22-53
뚬,U+B6AC,22-54
뚱,U+B6B1,22-55
뛔,U+B6D4,22-56
뛰,U+B6F0,22-57
뛴,U+B6F4,22-58
뛸,U+B6F8,22-59
뜀,U+B700,22-60
뜁,U+B701,22-61
뜅,U+B705,22-62
뜨,U+B728,22-63
뜩,U+B729,22-64
뜬,U+B72C,22-65
뜯,U+B72F,22-66
뜰,U+B730,22-67
뜸,U+B738,22-68
뜹,U+B739,22-69
뜻,U+B73B,22-70
띄,U+B744,22-71
띈,U+B748,22-72
띌,U+B74C,22-73
띔,U+B754,22-74
띕,U+B755,22-75
띠,U+B760,22-76
띤,U+B764,22-77
띨,U+B768,22-78
띰,U+B770,22-79
띱,U+B771,22-80
띳,U+B773,22-81
띵,U+B775,22-82
라,U+B77C,22-83
락,U+B77D,22-84
란,U+B780,22-85
랄,U+B784,22-86
람,U+B78C,22-87
랍,U+B78D,22-88
랏,U+B78F,22-89
랐,U+B790,22-90
랑,U+B791,22-91
랒,U+B792,22-92
랖,U+B796,22-93
랗,U+B797,22-94
래,U+B798,23-01
랙,U+B799,23-02
랜,U+B79C,23-03
랠,U+B7A0,23-04
램,U+B7A8,23-05
랩,U+B7A9,23-06
랫,U+B7AB,23-07
랬,U+B7AC,23-08
랭,U+B7AD,23-09
랴,U+B7B4,23-10
략,U+B7B5,23-11
랸,U+B7B8,23-12
럇,U+B7C7,23-13
량,U+B7C9,23-14
러,U+B7EC,23-15
럭,U+B7ED,23-16
런,U+B7F0,23-17
럴,U+B7F4,23-18
럼,U+B7FC,23-19
럽,U+B7FD,23-20
럿,U+B7FF,23-21
렀,U+B800,23-22
렁,U+B801,23-23
렇,U+B807,23-24
레,U+B808,23-25
렉,U+B809,23-26
렌,U+B80C,23-27
렐,U+B810,23-28
렘,U+B818,23-29
렙,U+B819,23-30
렛,U+B81B,23-31
렝,U+B81D,23-32
려,U+B824,23-33
력,U+B825,23-34
련,U+B828,23-35
렬,U+B82C,23-36
렴,U+B834,23-37
렵,U+B835,23-38
렷,U+B837,23-39
렸,U+B838,23-40
령,U+B839,23-41
례,U+B840,23-42
롄,U+B844,23-43
롑,U+B851,23-44
롓,U+B853,23-45
로,U+B85C,23-46
록,U+B85D,23-47
론,U+B860,23-48
롤,U+B864,23-49
롬,U+B86C,23-50
롭,U+B86D,23-51
롯,U+B86F,23-52
롱,U+B871,23-53
롸,U+B878,23-54
롼,U+B87C,23-55
뢍,U+B88D,23-56
뢨,U+B8A8,23-57
뢰,U+B8B0,23-58
뢴,U+B8B4,23-59
뢸,U+B8B8,23-60
룀,U+B8C0,23-61
룁,U+B8C1,23-62
룃,U+B8C3,23-63
룅,U+B8C5,23-64
료,U+B8CC,23-65
룐,U+B8D0,23-66
룔,U+B8D4,23-67
룝,U+B8DD,23-68
룟,U+B8DF,23-69
룡,U+B8E1,23-70
루,U+B8E8,23-71
룩,U+B8E9,23-72
룬,U+B8EC,23-73
룰,U+B8F0,23-74
룸,U+B8F8,23-75
룹,U+B8F9,23-76
룻,U+B8FB,23-77
룽,U+B8FD,23-78
뤄,U+B904,23-79
뤘,U+B918,23-80
뤠,U+B920,23-81
뤼,U+B93C,23-82
뤽,U+B93D,23-83
륀,U+B940,23-84
륄,U+B944,23-85
륌,U+B94C,23-86
륏,U+B94F,23-87
륑,U+B951,23-88
류,U+B958,23-89
륙,U+B959,23-90
륜,U+B95C,23-91
률,U+B960,23-92
륨,U+B968,23-93
륩,U+B969,23-94
륫,U+B96B,24-01
륭,U+B96D,24-02
르,U+B974,24-03
륵,U+B975,24-04
른,U+B978,24-05
를,U+B97C,24-06
름,U+B984,24-07
릅,U+B985,24-08
릇,U+B987,24-09
릉,U+B989,24-10
릊,U+B98A,24-11
릍,U+B98D,24-12
릎,U+B98E,24-13
리,U+B9AC,24-14
릭,U+B9AD,24-15
린,U+B9B0,24-16
릴,U+B9B4,24-17
림,U+B9BC,24-18
립,U+B9BD,24-19
릿,U+B9BF,24-20
링,U+B9C1,24-21
마,U+B9C8,24-22
막,U+B9C9,24-23
만,U+B9CC,24-24
많,U+B9CE,24-25
맏,U+B9CF,24-26
말,U+B9D0,24-27
맑,U+B9D1,24-28
맒,U+B9D2,24-29
맘,U+B9D8,24-30
맙,U+B9D9,24-31
맛,U+B9DB,24-32
망,U+B9DD,24-33
맞,U+B9DE,24-34
맡,U+B9E1,24-35
맣,U+B9E3,24-36
매,U+B9E4,24-37
맥,U+B9E5,24-38
맨,U+B9E8,24-39
맬,U+B9EC,24-40
맴,U+B9F4,24-41
맵,U+B9F5,24-42
맷,U+B9F7,24-43
맸,U+B9F8,24-44
맹,U+B9F9,24-45
맺,U+B9FA,24-46
먀,U+BA00,24-47
먁,U+BA01,24-48
먈,U+BA08,24-49
먕,U+BA15,24-50
머,U+BA38,24-51
먹,U+BA39,24-52
먼,U+BA3C,24-53
멀,U+BA40,24-54
멂,U+BA42,24-55
멈,U+BA48,24-56
멉,U+BA49,24-57
멋,U+BA4B,24-58
멍,U+BA4D,24-59
멎,U+BA4E,24-60
멓,U+BA53,24-61
메,U+BA54,24-62
멕,U+BA55,24-63
멘,U+BA58,24-64
멜,U+BA5C,24-65
멤,U+BA64,24-66
멥,U+BA65,24-67
멧,U+BA67,24-68
멨,U+BA68,24-69
멩,U+BA69,24-70
며,U+BA70,24-71
멱,U+BA71,24-72
면,U+BA74,24-73
멸,U+BA78,24-74
몃,U+BA83,24-75
몄,U+BA84,24-76
명,U+BA85,24-77
몇,U+BA87,24-78
몌,U+BA8C,24-79
모,U+BAA8,24-80
목,U+BAA9,24-81
몫,U+BAAB,24-82
몬,U+BAAC,24-83
몰,U+BAB0,24-84
몲,U+BAB2,24-85
몸,U+BAB8,24-86
몹,U+BAB9,24-87
못,U+BABB,24-88
몽,U+BABD,24-89
뫄,U+BAC4,24-90
뫈,U+BAC8,24-91
뫘,U+BAD8,24-92
뫙,U+BAD9,24-93
뫼,U+BAFC,24-94
묀,U+BB00,25-01
묄,U+BB04,25-02
묍,U+BB0D,25-03
묏,U+BB0F,25-04
묑,U+BB11,25-05
묘,U+BB18,25-06
묜,U+BB1C,25-07
묠,U+BB20,25-08
묩,U+BB29,25-09
묫,U+BB2B,25-10
무,U+BB34,25-11
묵,U+BB35,25-12
묶,U+BB36,25-13
문,U+BB38,25-14
묻,U+BB3B,25-15
물,U+BB3C,25-16
묽,U+BB3D,25-17
묾,U+BB3E,25-18
뭄,U+BB44,25-19
뭅,U+BB45,25-20
뭇,U+BB47,25-21
뭉,U+BB49,25-22
뭍,U+BB4D,25-23
뭏,U+BB4F,25-24
뭐,U+BB50,25-25
뭔,U+BB54,25-26
뭘,U+BB58,25-27
뭡,U+BB61,25-28
뭣,U+BB63,25-29
뭬,U+BB6C,25-30
뮈,U+BB88,25-31
뮌,U+BB8C,25-32
뮐,U+BB90,25-33
뮤,U+BBA4,25-34
뮨,U+BBA8,25-35
뮬,U+BBAC,25-36
뮴,U+BBB4,25-37
뮷,U+BBB7,25-38
므,U+BBC0,25-39
믄,U+BBC4,25-40
믈,U+BBC8,25-41
믐,U+BBD0,25-42
믓,U+BBD3,25-43
미,U+BBF8,25-44
믹,U+BBF9,25-45
민,U+BBFC,25-46
믿,U+BBFF,25-47
밀,U+BC00,25-48
밂,U+BC02,25-49
밈,U+BC08,25-50
밉,U+BC09,25-51
밋,U+BC0B,25-52
밌,U+BC0C,25-53
밍,U+BC0D,25-54
및,U+BC0F,25-55
밑,U+BC11,25-56
바,U+BC14,25-57
박,U+BC15,25-58
밖,U+BC16,25-59
밗,U+BC17,25-60
반,U+BC18,25-61
받,U+BC1B,25-62
발,U+BC1C,25-63
밝,U+BC1D,25-64
밞,U+BC1E,25-65
밟,U+BC1F,25-66
밤,U+BC24,25-67
밥,U+BC25,25-68
밧,U+BC27,25-69
방,U+BC29,25-70
밭,U+BC2D,25-71
배,U+BC30,25-72
백,U+BC31,25-73
밴,U+BC34,25-74
밸,U+BC38,25-75
뱀,U+BC40,25-76
뱁,U+BC41,25-77
뱃,U+BC43,25-78
뱄,U+BC44,25-79
뱅,U+BC45,25-80
뱉,U+BC49,25-81
뱌,U+BC4C,25-82
뱍,U+BC4D,25-83
뱐,U+BC50,25-84
뱝,U+BC5D,25-85
버,U+BC84,25-86
벅,U+BC85,25-87
번,U+BC88,25-88
벋,U+BC8B,25-89
벌,U+BC8C,25-90
벎,U+BC8E,25-91
범,U+BC94,25-92
법,U+BC95,25-93
벗,U+BC97,25-94
벙,U+BC99,26-01
벚,U+BC9A,26-02
베,U+BCA0,26-03
벡,U+BCA1,26-04
벤,U+BCA4,26-05
벧,U+BCA7,26-06
벨,U+BCA8,26-07
벰,U+BCB0,26-08
벱,U+BCB1,26-09
벳,U+BCB3,26-10
벴,U+BCB4,26-11
벵,U+BCB5,26-12
벼,U+BCBC,26-13
벽,U+BCBD,26-14
변,U+BCC0,26-15
별,U+BCC4,26-16
볍,U+BCCD,26-17
볏,U+BCCF,26-18
볐,U+BCD0,26-19
병,U+BCD1,26-20
볕,U+BCD5,26-21
볘,U+BCD8,26-22
볜,U+BCDC,26-23
보,U+BCF4,26-24
복,U+BCF5,26-25
볶,U+BCF6,26-26
본,U+BCF8,26-27
볼,U+BCFC,26-28
봄,U+BD04,26-29
봅,U+BD05,26-30
봇,U+BD07,26-31
봉,U+BD09,26-32
봐,U+BD10,26-33
봔,U+BD14,26-34
봤,U+BD24,26-35
봬,U+BD2C,26-36
뵀,U+BD40,26-37
뵈,U+BD48,26-38
뵉,U+BD49,26-39
뵌,U+BD4C,26-40
뵐,U+BD50,26-41
뵘,U+BD58,26-42
뵙,U+BD59,26-43
뵤,U+BD64,26-44
뵨,U+BD68,26-45
부,U+BD80,26-46
북,U+BD81,26-47
분,U+BD84,26-48
붇,U+BD87,26-49
불,U+BD88,26-50
붉,U+BD89,26-51
붊,U+BD8A,26-52
붐,U+BD90,26-53
붑,U+BD91,26-54
붓,U+BD93,26-55
붕,U+BD95,26-56
붙,U+BD99,26-57
붚,U+BD9A,26-58
붜,U+BD9C,26-59
붤,U+BDA4,26-60
붰,U+BDB0,26-61
붸,U+BDB8,26-62
뷔,U+BDD4,26-63
뷕,U+BDD5,26-64
뷘,U+BDD8,26-65
뷜,U+BDDC,26-66
뷩,U+BDE9,26-67
뷰,U+BDF0,26-68
뷴,U+BDF4,26-69
뷸,U+BDF8,26-70
븀,U+BE00,26-71
븃,U+BE03,26-72
븅,U+BE05,26-73
브,U+BE0C,26-74
븍,U+BE0D,26-75
븐,U+BE10,26-76
블,U+BE14,26-77
븜,U+BE1C,26-78
븝,U+BE1D,26-79
븟,U+BE1F,26-80
비,U+BE44,26-81
빅,U+BE45,26-82
빈,U+BE48,26-83
빌,U+BE4C,26-84
빎,U+BE4E,26-85
빔,U+BE54,26-86
빕,U+BE55,26-87
빗,U+BE57,26-88
빙,U+BE59,26-89
빚,U+BE5A,26-90
빛,U+BE5B,26-91
빠,U+BE60,26-92
빡,U+BE61,26-93
빤,U+BE64,26-94
빨,U+BE68,27-01
빪,U+BE6A,27-02
빰,U+BE70,27-03
빱,U+BE71,27-04
빳,U+BE73,27-05
빴,U+BE74,27-06
빵,U+BE75,27-07
빻,U+BE7B,27-08
빼,U+BE7C,27-09
빽,U+BE7D,27-10
뺀,U+BE80,27-11
뺄,U+BE84,27-12
뺌,U+BE8C,27-13
뺍,U+BE8D,27-14
뺏,U+BE8F,27-15
뺐,U+BE90,27-16
